biological_variables
RAB4B
C12orf5
RNF44
DNAH3
RPL23A
ARL8B
CALB2
MFSD3
PIGV
ZNF708
MYADML2
PHEX
MOGAT2
PFN2
RMND5A
RAD23A
SIN3B
TLL2
CTSA
IL32
PTPN4
NUCB2
TMEM143
DACH1
SERTAD2
ST3GAL6
PKP2
KRT1
SLC45A4
MTRF1
ESM1
RWDD2A
SCFD2
YWHAB
TMEM155
TOMM40
ADTRP
NDUFAF2
SEPSECS
CWC27
MYOM2
MAP9
APIP
MAF1
FOXP1
PLCE1
RAD17
SPCS2
SETDB2
DESI2
PAX3
COX17
NLGN2
SERPINE3
PKMYT1
FAM89B
MED8
PHF1
ZNF781
FAM69A
ANKMY1
PSMB6
GUCY1A3
PRKG2
FBXO45
AMZ2
TMEM52
CHN2
GCNT4
KLK8
IP6K3
MTF2
RBM15B
PIH1D2
ENSG00000260729
MT1A
ATP2A1
NCAPG
FANK1
NOP2
ZNF880
MFI2
PTPRB
DGKD
TMCO1
RAB5C
UPP1
TRABD2B
AMN
KLK10
KDM5B
STPG1
FHOD1
PTPRH
PCMTD1
GLRA3
FAM188B
MAP2K7
AP5S1
GRIP1
VRK3
SLC2A1
MUSK
SPINK1
HCG27
GLYCTK
MASP2
RPRM
TNNT1
MT-ND1
PPOX
H6PD
RCOR1
GRAMD1C
RPS6KB1
GLI3
KCNE4
HOXC13
FAM217B
FCGR2B
LAMTOR4
PHYKPL
KIAA1328
NME2
PHLDA2
CBL
RLN1
CLN6
EFS
ERRFI1
EVPL
IL27RA
WDR70
BRDT
OTUD1
TTC5
PDCD6
MRPS11
EPB41L2
EPHA3
DIO1
C1orf35
LDHA
XCL1
UBE3A
DNMT3A
PDE5A
ZNF304
ATP6AP2
XRCC6BP1
PLIN4
ARL17B
PLP2
TREH
NOP16
GNA12
HEY2
ACOX2
ASUN
PROSER2
PPP1R7
OR51E2
CYP2E1
PES1
ENSG00000255508
HSDL2
STARD5
PTCD3
TSPEAR
CYP2D6
FLYWCH2
NTM
ZNF551
ASB2
CD1C
MZT2A
EXOSC7
OGDHL
IL12A
FAM86C1
MATN3
PIGA
MNT
MSANTD3
PLOD1
CLPSL2
CD79B
FARS2
DDX60L
VNN2
SH3D21
RCN3
PPP4C
JAKMIP3
ALDOA
NCEH1
SMARCC2
NRAP
RCAN3
GALC
ZBTB21
KBTBD8
ZNF451
LCN6
MED31
RNF24
BCL7C
DROSHA
LEMD2
BTLA
PRDM10
UQCRB
FAM69B
RNF5
CDK8
PCBP3
LAMA1
TAF9B
PLK3
DOC2A
MPLKIP
LIPJ
RIC8B
WNK4
LNPEP
PXT1
MRPL22
DOCK10
DHDDS
C10orf90
MGA
RMI2
GALNT16
ARFGEF1
VPS45
NLGN3
ITGB6
USP18
GDF9
LPCAT3
SOSTDC1
ZNF850
CAND1
KCNJ5
KCNJ11
CRYBB1
CAPN3
MEP1A
AGXT2
TRAF3IP2
POGK
PRH1-PRR4
SMARCC1
PRKACB
CLCA4
HOOK3
DHX15
WBP2NL
ENSG00000234409
ATAD3C
RAD54L
CHORDC1
SLC18A2
DENND5A
ATP6V0E1
BTBD16
N4BP1
ART5
TBX19
CXCR1
ISLR2
PDRG1
AKR1C2
ADCY2
RGS20
EIF3I
TTLL4
HMGB2
UBE2N
FAM185A
PDE1C
ABCA1
NIF3L1
ANKRD1
MCOLN2
MUT
VTA1
SIM2
ZCCHC17
EML2
PON1
GPR35
PRG4
PCDHGA2
TULP2
KATNB1
DCDC1
DLX6
ZNF248
CREM
ZDHHC6
RP11-514O12.4
POU6F1
CSPG4
CALML5
BIN3
B3GNT4
PLP1
RTN2
TMED6
XYLT2
LYZ
DDX21
VAC14
USP9X
STX17
SAP30
ISG20L2
ZFYVE19
STOX1
NR2F1
ZNF566
MORF4L2
PTGS2
ZZEF1
CCDC90B
SYNJ1
UBE2Z
CDK5RAP2
ZNF132
FOCAD
ICA1
SLC5A10
OSBPL5
C11orf53
WIF1
FGFR4
WDR36
TRIM25
MBOAT1
CRB3
XPO4
TMEM30A
ECHDC3
WAS
FBXO6
ZGRF1
C8orf76
DDR1
CDH6
SPI1
PGBD4
ZNF780A
PPARA
BPI
ZNF425
ZNF778
SCPEP1
SGCB
PLIN1
HTR1F
FBXO28
PDIA3
RPF2
APPL1
UPF2
NRK
SLPI
ITGB3BP
TOR4A
MED1
KLHL10
CLEC5A
RBM12
PDCD4
ERO1LB
RBM43
TTLL1
QRFP
WDR90
MAPK4
SDAD1
MSANTD4
HAUS5
SBNO2
FCGRT
MED28
ZFHX2
CBY3
ZNF622
MYSM1
ANXA3
HS3ST3A1
CEACAM19
SZRD1
PHACTR3
GPSM2
SLC20A1
NPIPB3
GPR125
POLG
IGF1R
F2RL2
SLA
RPL38
PTPN12
TBC1D3B
FGF10
ZNF318
RHEB
RASD2
PRRT2
ZNF350
TONSL
ZNF664
IL10RA
TYK2
FATE1
FAHD2B
TIPIN
BDH1
PSMB5
LRIG1
KCTD1
NR5A2
C14orf79
NOTCH2
RECQL
FN3KRP
TMOD1
ELAC2
FXYD6
MRPL10
NCAPH2
PAQR3
DPYSL3
APBA2
ANTXR2
MINOS1
SERPINI1
UBE2J1
THOC1
EOMES
ENSG00000167807
KIAA1324
REM2
NTN5
MZT2B
MCL1
LRRC26
POPDC3
G2E3
ULK1
EXTL2
PBX1
A2ML1
PNMA6A
TCTE1
EP400
FCRL1
ADAMTSL4
C19orf73
SORBS2
TRMT44
ZNF486
ZC3H8
DENND1A
GBP5
RARRES1
PRPH2
ENTPD6
CFB
C7orf73
ANAPC1
CDO1
PCDH11X
ASGR1
TNPO3
PIGO
NDUFA3
AP000275.65
NR6A1
MARVELD1
CPT2
PI4K2A
C14orf93
NREP
MAFK
PLCD4
STK35
KIF1B
FAT3
SIPA1
PTGR1
RPS24
MFN2
RBMS2
LSAMP
GCK
RPL9
GPR171
RXRB
ABHD5
CREG1
GCNT2
POLR2I
SNRNP35
LIMD2
DCAF7
RHOC
CDON
RIPPLY3
CDS2
LRRC32
DCP2
CALHM2
UQCRC1
ZMYND10
CENPE
EIF2AK2
LRRIQ4
PRICKLE3
ENDOV
INTS4
FAM63A
XDH
FAM212A
ZDHHC20
ANKRD42
SLC43A2
RTEL1-TNFRSF6B
TMEM232
C9orf78
BMP8A
SMARCD1
ABCC1
STAT1
IL18BP
PRX
PAX1
ADCK4
ZC3H18
ZNF500
TSC2
POMC
METTL22
STRIP1
ZNF598
HSPA1L
RILP
JMJD7-PLA2G4B
ZNF532
STRA6
CDH11
ATP2A3
ECE2
GPR45
HCFC2
ZNF700
CMTM3
