biological_variables
ENSG00000259883
ENSG00000263089
ENSG00000231105
ENSG00000269416
ENSG00000266261
ENSG00000269148
ENSG00000258630
ENSG00000215246
ENSG00000266644
ENSG00000275479
COLCA1
ENSG00000267108
ENSG00000273055
ENSG00000272905
LINC00592
ENSG00000226688
ENSG00000204581
ENSG00000259345
ENSG00000279345
ENSG00000240710
ENSG00000245017
ENSG00000281091
ENSG00000273797
DGCR11
ENSG00000272456
ENSG00000255521
ENSG00000272374
ENSG00000273305
ENSG00000267871
ENSG00000259847
ENSG00000259799
ENSG00000257815
ENSG00000228318
ENSG00000269680
ENSG00000260000
ENSG00000268947
ENSG00000218018
ENSG00000261654
ENSG00000251615
ENSG00000261840
ENSG00000278126
ENSG00000237424
ENSG00000227964
ENSG00000269921
ADIRF-AS1
ENSG00000226824
ENSG00000255153
ENSG00000261663
ENSG00000249996
ENSG00000253829
ENSG00000235204
ENSG00000255774
ENSG00000251359
ENSG00000261798
ENSG00000271821
ENSG00000275491
ENSG00000280007
ENSG00000255236
ENSG00000259248
ENSG00000226806
ENSG00000275894
ENSG00000246526
ENSG00000274979
ENSG00000239911
ENSG00000272079
ENSG00000250990
ENSG00000261504
ENSG00000232386
ENSG00000230107
ENSG00000224870
ENSG00000260281
ENSG00000234740
ENSG00000203356
ENSG00000270015
ENSG00000276934
ENSG00000227719
ENSG00000263531
ENSG00000272335
ENSG00000272995
ENSG00000272989
ENSG00000271978
ENSG00000250413
ENSG00000260541
ENSG00000276984
ENSG00000253983
ENSG00000261431
ENSG00000281849
ENSG00000258999
ENSG00000251455
ENSG00000237595
ENSG00000254577
ENSG00000239523
URB1-AS1
ENSG00000248810
ENSG00000258545
A1BG-AS1
ENSG00000271916
ENSG00000249042
ENSG00000253549
ENSG00000272269
ENSG00000250740
ENSG00000272419
ENSG00000230747
SNHG6
LINC00680
ENSG00000248714
ENSG00000255176
ENSG00000254676
ENSG00000235280
ENSG00000258673
ENSG00000273249
NPHP3-AS1
ENSG00000272654
ENSG00000236740
ENSG00000261496
ENSG00000270133
ENSG00000258623
