Tags,TCGA-AN-A0AK-01,TCGA-EW-A1PC-01,TCGA-GM-A2DL-01,TCGA-AO-A0J2-01,TCGA-A8-A085-01,TCGA-S3-AA10-01,TCGA-AR-A24W-01,TCGA-A8-A08T-01,TCGA-A8-A097-01,TCGA-EW-A1P6-01,TCGA-E9-A22B-01,TCGA-A2-A0T6-01,TCGA-AR-A1AY-01,TCGA-PE-A5DC-01,TCGA-A8-A06Q-01,TCGA-C8-A1HI-01,TCGA-D8-A1XD-01,TCGA-BH-A1EN-11,TCGA-BH-A0EI-01,TCGA-A2-A4S1-01,TCGA-A8-A09Z-01,TCGA-E2-A1IG-01,TCGA-D8-A1X9-01,TCGA-BH-AB28-01,TCGA-BH-A1F0-01,TCGA-A7-A426-01,TCGA-BH-A1F5-01,TCGA-AC-A8OR-01,TCGA-EW-A1OX-01
hsa-mir-421,0.220788864,0.113780974,0.282021861,0.176755687,0.065318526,0.148156432,0.056239574,0.070424305,0.083689049,0.017781481,0.192527899,0.041151177,0.154540446,0.150691684,0.057183227,0.083286475,0.029538086,0.026098537,0.058969788,0.121329494,0.164364305,0.033942283,0.067686673,0.069136872,0.215048641,0.047336778,0.068593863,0.099494051,0.030133952
hsa-mir-423,0.058291077,0.067365174,0.009344874,0.0277677,0.014371943,0.014843796,0.020874095,0.032557973,0.040424938,0.01805817,0.033350968,0.008371422,0.029928655,0.036530433,0.069491664,0.013638391,0.017756035,0.029099877,0.014147164,0.034638564,0.037084441,0.031136212,0.014069529,0.015354948,0.037260246,0.010918056,0.032300486,0.047375847,0.009412981
hsa-mir-424,0.12105608,0.139371364,0.019547085,0.169476782,0.02078181,0.022688658,0.053814765,0.019553344,0.023607116,0.026828409,0.079165531,0.00701058,0.041773804,0.040371045,0.107352921,0.104912044,0.052963509,0.029367558,0.048607518,0.119014278,0.037118987,0.032247069,0.000932766,0.020103285,0.306005209,0.016097577,0.024765943,0.010117627,0.007312606
hsa-mir-425,0.064299828,0.045763114,0.050112823,0.168028812,0.109884617,0.034261071,0.035495124,0.041891797,0.111736947,0.113132757,0.056224359,0.008833264,0.057221744,0.065958663,0.056488321,0.097929923,0.033846904,0.038313507,0.013693808,0.028307959,0.02840778,0.039393924,0.019966866,0.018474275,0.118895694,0.026944908,0.099467066,0.05426314,0.026222676
hsa-mir-429,0.137054157,0.175144579,0.036448139,0.111851164,0.019354634,0.043900458,0.023725632,0.05358357,0.01487882,0.156190502,0.080725964,0.030173912,0.034635141,0.054111783,0.522537403,0.056259167,0.054517566,0.003538967,0.042380455,0.003107658,0.055410023,0.018103483,0.01733684,0.017499952,0.05629623,0.037086854,0.110582618,0.056000074,0.011804489
hsa-mir-431,0.006710862,0.011527882,0.006825879,0.00646687,0.006066353,0.00250178,0.012820481,0.011594598,0.008903029,0.00720623,0.010466761,0.012160428,0.005382261,0.010178361,0.0014484,0.003164357,0.012718953,0.025781056,0.014936515,0.000614634,0.0010408,0.011348406,0.010286658,0.007004701,0.01089398,0.00959199,0.00651533,0.000900034,0.000763266
hsa-mir-432,0.006760316,0.023225673,0.013432541,0.007516761,0.004999957,0.004536389,0.015067453,0.00539079,0.010249873,0.006805627,0.019410352,0.006300023,0.005914828,0.015380053,0,0.009563031,0.011305309,0.037957683,0.026632461,0.000928745,0.001572704,0.01351059,0.020077277,0.016405948,0.02057674,0.022465724,0.005250675,0,0.000461336
hsa-mir-4326,0.778238217,0.22899803,0.020454166,0.339717867,0.106590385,0,0.018354968,0.091937788,0.021850952,0.040623558,0.15478995,0.008953701,0.018914067,0.372958923,0.009331474,0.058894969,0.241009508,0.119249314,0.042341255,0.340546558,0.01341094,0.024371118,0.074557028,0.018051418,0,0.030898718,0.095144967,0.032471976,0
hsa-mir-433,0,0.077515853,0.025617839,0.03440537,0,0.005767705,0.01642049,0.041124124,0.02932203,0.020766938,0.019194729,0.016020095,0,0,0,0,0.04312179,0.091441135,0.041322318,0.007085012,0,0.043605166,0.01482205,0.028260642,0.031394294,0.005528442,0.020027621,0.004149944,0
hsa-mir-450a-1,0.050632433,0.217440321,0.05748863,0.213932209,0.037447948,0.028313327,0.080607149,0.020187567,0.057576013,0.050971797,0.126531682,0.039320828,0.055375019,0.21598366,0.016391938,0.111414814,0.042336439,0.1047384,0.084520316,0.466050403,0,0.038919091,0.004850702,0.071346697,0.27740281,0.065133096,0.029494316,0.024446244,0.031097117
